Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 85.0.4183.83,,,2020-08-27 21:14:48,2020-08-27 21:15:41,52.930s,ERROR
,,,,,,,
Test Cases/MedicarePlans/OpenMedicarePageAndSelectCity/TC_SelectCity,Chrome 85.0.4183.83,,,2020-08-27 21:14:49,2020-08-27 21:15:25,35.657s,PASSED
"openBrowser(""https://cd.ca.ehealthmedicareplans.com/"")",Chrome 85.0.4183.83,,,2020-08-27 21:14:50,2020-08-27 21:15:01,11.343s,PASSED
waitForPageLoad(120),Chrome 85.0.4183.83,,,2020-08-27 21:15:01,2020-08-27 21:15:20,18.969s,PASSED
"setText(findTestObject(""Medicare Plans/OpenMedicareWebPage/input_Zip code""), ""90001"")",Chrome 85.0.4183.83,,,2020-08-27 21:15:20,2020-08-27 21:15:23,2.809s,PASSED
"click(findTestObject(""Medicare Plans/OpenMedicareWebPage/button_Find Plans""))",Chrome 85.0.4183.83,,,2020-08-27 21:15:23,2020-08-27 21:15:24,1.116s,PASSED
waitForPageLoad(60),Chrome 85.0.4183.83,,,2020-08-27 21:15:24,2020-08-27 21:15:24,0.042s,PASSED
try,Chrome 85.0.4183.83,,,2020-08-27 21:15:24,2020-08-27 21:15:25,0.565s,PASSED
,,,,,,,
Test Cases/MedicarePlans/SelectPlanType/TC_SelectPlanType,Chrome 85.0.4183.83,,,2020-08-27 21:15:25,2020-08-27 21:15:41,16.693s,ERROR
"click(findTestObject(""Object Repository/Medicare Plans/SelectPlanType/Page_Medicare Insurance Program/a_Medicare Advantage Plans  45 plans available""))",Chrome 85.0.4183.83,,,2020-08-27 21:15:26,2020-08-27 21:15:40,14.132s,PASSED
driver = getWebDriver(),Chrome 85.0.4183.83,,,2020-08-27 21:15:40,2020-08-27 21:15:40,0.001s,PASSED
"company = driver.findElement(By.xpath(""//*[@id='filter 6'']/div/div/div/ul""))",Chrome 85.0.4183.83,,,2020-08-27 21:15:40,2020-08-27 21:15:41,1.179s,PASSED
